ShortName,CompanyName,ISINCode,ExchangeCode
03D001,11.10% GOI LOAN 07/04/2003,INY019980013,CG1110S9803
3.00E+01,GOI LOAN 5.75% 2003,IN0019730012,CG0575S7303
3.00E+02,GOI LOAN 11% 2003,IN0019880023,CG1100S8803
04C001,12.50% GOI LOAN 23/03/2004,INY019930083,CG1250S9404
4.00E+01,11.50% GOI LOAN 09/05/2004,INY019980054,CG1150S9804
4.00E+02,GOI LOAN 12.35% 2004,INY019940025,CG1235S9404
04F001,GOI LOAN 6.50% 2004,IN0019770026,CG0650S7704
04F002,GOI LOAN 12.59% 2004,INY019970063,CG1259S9704
04I001,11.98% GOI LOAN 08/09/2004,INY019980211,CG1198S9804
04J001,GOI LOAN 11.30% 2004,IN0019860090,CG1130S8604
05D001,9.90% GOI LOAN 22/04/2005,INY020000017,CG0990S0005
5.00E+01,GOI LOAN 13.75% 2005,INY019950024,CG1375S9505
05F001,14.00% GOI LOAN 08/06/2005,INY019950040,CG1400S9505
05F002,GOI LOAN 11.25% 2005,IN0019900037,CG1125S9005
05H001,11.19% GOI LOAN 12/08/2005,INY019970097,CG1119S9705
05I001,GOI LOAN 14% 2005,INY019954018,CG1400A9505
05J001,GOI LOAN 6.50% 2005,IN0019770059,CG0650S7705
05J002,GOI LOAN 8.25% 2005,IN0019820086,CG0825S8205
06C001,GOI LOAN 14% 2006,INY019950164,CG1400S9606
06D001,GOI LOAN 11.68% 2006,INY019990038,CG1168S9906
6.00E+01,GOI LOAN 6.75% 2006,IN0019780025,CG0675S7806
6.00E+02,GOI LOAN 11.50% 2006,IN0019860033,CG1150S8606
06F001,13.85% GOI LOAN 24/06/2006,INY019964017,CG1385S9606
06G001,11.00% GOI LOAN 28/07/2006,INY020000074,CG1100S0006
06H001,13.85% GOI LOAN 26/08/2006,INY019960056,CG1385A9606
07B001,13.65% GOI LOAN 21/02/2007,INY019960098,CG1365S9707
07C001,12.50% GOI LOAN 25/03/2007,INY019910192,CG1250S9207
07D001,GOI LOAN 13.05% 2007,INY019970014,CG1305S9707
7.00E+01,11.90% GOI LOAN 28/05/2007,INY019980062,CG1190S9807
07J001,GOI LOAN 11.50% 2007,IN0019870073,CG1150S8707
07K001,GOI LOAN 6.75% 2007,IN0019780074,CG0675S7807
08B001,GOI LOAN 9.50% 2008,IN0019830143,CG0950S8408
8.00E+01,12.00% GOI LOAN 02/05/2008,INY019980047,CG1200S9808
08F001,12.10% GOI LOAN 19/06/2008,INY019980096,CG1210S9808
08G001,12.22% GOI LOAN 24/07/2008,INY019980153,CG1222S9808
08H001,11.40% GOI LOAN 31/08/2008,INY020000108,CG1140S0008
08I001,12.25% GOI LOAN 08/09/2008,INY019980229,CG1225S9808
09D001,11.99% GOI LOAN 07/04/2009,INY019990012,CG1199S9909
09D002,6.65% GOI LOAN 05/04/2009,INY020020015,CG0665S0209
9.00E+01,GOI LOAN 7% 2009,IN0019790024,CG0700S7909
9.00E+02,GOI LOAN 11.50% 2009,IN0019890030,CG1150S8909
0GSC28,GSEC STRIP 19MR28,IN000328C046,GS19MAR2028
0GSC31,GSEC STRIP 19MR31,IN000331C040,GS19MAR2031
0GSC32,GSEC STRIP 19MR32,IN000332C048,GS19MAR2032
0GSD35,GSEC STRIP 22AR35,IN000435C031,GS22APR35C
0GSF28,GSEC STRIP 17JU28,IN000628C031,GS17JUN28C
0GSI26,GSEC STRIP 19SP26,IN000926C047,GS19SEP2026
0GSI27,GSEC STRIP 12SP27,IN000927C052,GS12SEP27
0GSI28,GSEC STRIP 19SP28,IN000928C043,GS19SEP2028
0GSI41,GSEC STRIP 12SP41,IN000941C046,GS12SEP2041
0GSK73,GSEC STRIP 06NV73,IN001173C011,GS06NOV73
10A001,12.29% GOI LOAN 29/01/2010,INY019980336,CG1229S9910
1.00E+02,7.55% GOI LOAN 14/05/2010,INY020020064,CG0755S0210
1.00E+03,GOI LOAN 7.50% 2010,IN0019800021,CG0750S8010
10F001,GOI LOAN 11.50% 2010,IN0019900045,CG1150S9010
10G001,12.25% GOI LOAN 02/07/2010,INY019980120,CG1225S9810
10G002,11.30% GOI LOAN 28/07/2010,INY020000082,CG1130S0010
11A001,12.32% GOI LOAN 29/01/2011,INY019980344,CG1232S9911
11D001,GOI LOAN 8% 2011,IN0019810020,CG0800S8111
11G001,9.39% GOI LOAN 02/07/2011,INY020010057,CG0939S0111
11H001,11.50% GOI LOAN 05/08/2011,INY019910044,CG1150S9111
11J001,12.00% GOI LOAN 21/10/2011,INY019910127,CG1200S9111
11K001,11.50% GOI LOAN 24/11/2011,INY020000116,CG1150S0011
12D001,6.85% GOI LOAN 05/04/2012,INY020020023,CG0685S0212
1.20E+02,7.40% GOI LOAN 03/05/2012,INY020020056,CG0740S0212
12F001,GOI LOAN 10.25% 2012,IN0019840035,CG1025S8412
12I001,9.40% GOI LOAN 11/09/2012,INY020010073,CG0940S0112
1.30E+02,9.81% GOI LOAN 30/05/2013,INY020010032,CG0981S0113
1.30E+03,GOI LOAN 9% 2013,IN0019820037,CG0900S8213
13H001,12.40% GOI LOAN 20/08/2013,INY019980187,CG1240S9813
