Token,InstrumentName,ShortName,Series,ExpiryDate,StrikePrice,OptionType,CALevel,PermittedToTrade,IssueCapital,WarningQty,FreezeQty,CreditRating,NormalMarketStatus,OddLotMarketStatus,SpotMarketStatus,AuctionMarketStatus,NormalMarketEligibility,OddLotMarketEligibility,SpotMarketEligibility,AuctionMarketEligibility,IssueRate,IssueStartDate,InterestPaymentDate,IssueMaturityDate,MarginPercentage,MinimumLotQty,LotSize,TickSize,CompanyName,ListingDate,ExpulsionDate,ReAdmissionDate,RecordDate,LowPriceRange,HighPriceRange,SecurityExpiryDate,NoDeliveryStartDate,NoDeliveryEndDate,MF,AON,ParticipantInMarketIndex,BookClsStartDate,BookClsEndDate,ExcerciseStartDate,ExcerciseEndDate,OldToken,AssetInstrument,AssetName,AssetToken,IntrinsicValue,ExtrinsicValue,ExcerciseStyle,EGM,AGM,Interest,Bonus,Rights,Dividends,ExAllowed,ExRejectionAllowed,PlAllowed,IsThisAsset,IsCorpAdjusted,LocalUpdateDatetime,DeleteFlag,Remarks,BasePrice,ExchangeCode
826719,FUTIND,BSESEN,FUTURE,26-Aug-2025,0,XX,0,0,0,0,0,,0,0,0,0,,,,,0,,,,200,0,20,5,BSE SENSEX,,,,,74362.55,90887.6,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,8260335,SENSEX
826846,FUTIND,BANKEX,FUTURE,26-Aug-2025,0,XX,0,0,0,0,0,,0,0,0,0,,,,,0,,,,0,0,30,5,BANKEX,,,,,57516.45,70297.9,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,6275582,BANKEX
840107,FUTIND,BSESEN,FUTURE,05-Aug-2025,0,XX,0,0,0,0,0,,0,0,0,0,,,,,0,,,,120,0,20,5,BSE SENSEX,,,,,74024.95,90474.95,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,8238960,SENSEX
1141118,FUTIND,BANKEX,FUTURE,29-Jul-2025,0,XX,0,0,0,0,0,,0,0,0,0,,,,,0,,,,930,0,30,5,BANKEX,,,,,57171.85,69876.7,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,6356960,BANKEX
842364,FUTIND,BSESEN,FUTURE,25-Sep-2025,0,XX,0,0,0,0,0,,0,0,0,0,,,,,0,,,,60,0,20,5,BSE SENSEX,,,,,74753.5,91365.35,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,8303275,SENSEX
842507,FUTIND,BANKEX,FUTURE,25-Sep-2025,0,XX,0,0,0,0,0,,0,0,0,0,,,,,0,,,,0,0,30,5,BANKEX,,,,,57788.95,70630.9,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,6430568,BANKEX
1140932,FUTIND,BSESEN,FUTURE,29-Jul-2025,0,XX,0,0,0,0,0,,0,0,0,0,,,,,0,,,,11740,0,20,5,BSE SENSEX,,,,,74077.45,90539.1,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,8228720,SENSEX
841996,FUTIND,BSESEN,FUTURE,12-Aug-2025,0,XX,0,0,0,0,0,,0,0,0,0,,,,,0,,,,0,0,20,5,BSE SENSEX,,,,,74237.15,90734.3,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,8319980,SENSEX
820039,OPTIND,BSESEN,OPTION,29-Jul-2025,88400,PE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,0,0,20,5,BSE SENSEX,,,,,3269.6,8907.05,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,8405890,SENSEX
820067,OPTIND,BANKEX,OPTION,29-Jul-2025,70600,CE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,0,0,30,5,BANKEX,,,,,0.05,66,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,6313335,BANKEX
820161,OPTIND,BSESEN,OPTION,29-Jul-2025,88600,PE,0,0,0,0,0,,0,0,0,0,,,,,0,,,,0,0,20,5,BSE SENSEX,,,,,3467.9,9108.2,,,,0-XXX,,,,,,,0,,,0,0,0,,,,,,,,BFO,,,,,,,,8242990,SENSEX
