"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"1186","FUTCUR","GBPINR","FUTURE","29-Jul-2025",0,"XX",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"Pound-Indian Rupees","","","","",111.55,118.4475,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",114.2,"GBPINR"
"1228","FUTCUR","JPYINR","FUTURE","29-Jul-2025",0,"XX",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"YEN - Indian Rupees","","","","",59.79,63.4875,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",60.28,"JPYINR"
"1229","FUTCUR","USDINR","FUTURE","29-Jul-2025",0,"XX",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",4112,1,1000,0.0025,"US Dollar - Indian Rupee","","","","",83.355,88.5125,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",85.645,"USDINR"
"4735","FUTCUR","GBPINR","FUTURE","26-Aug-2025",0,"XX",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"Pound-Indian Rupees","","","","",111.4425,118.335,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",114.435,"GBPINR"
"4737","FUTCUR","JPYINR","FUTURE","26-Aug-2025",0,"XX",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"YEN - Indian Rupees","","","","",59.915,63.6225,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",60.5875,"JPYINR"
"4738","FUTCUR","USDINR","FUTURE","26-Aug-2025",0,"XX",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",1715,1,1000,0.0025,"US Dollar - Indian Rupee","","","","",83.285,88.4375,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",85.8325,"USDINR"
"4733","FUTCUR","EURINR","FUTURE","26-Aug-2025",0,"XX",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO - Indian Rupees","","","","",96.67,102.6475,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",98.07,"EURINR"
"1100","FUTCUR","EURINR","FUTURE","29-Jul-2025",0,"XX",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO - Indian Rupees","","","","",96.61,102.5875,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",97.6975,"EURINR"
"2663","OPTCUR","EURINR","OPTION","26-Sep-2025",97.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",3.055,4.335,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.5975,"EURINR"
"2683","OPTCUR","EURINR","OPTION","26-Sep-2025",98.5000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",1.3775,2.1425,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.4625,"EURINR"
